date,days,rate
01/15/2019,64,2.639176
01/15/2019,92,2.662068
01/15/2019,120,2.674278
01/15/2019,155,2.685461
01/15/2019,183,2.693758
01/15/2019,246,2.699432
01/15/2019,337,2.704482
01/15/2019,428,2.707384
01/15/2019,519,2.695141
01/15/2019,610,2.68054
01/15/2019,701,2.665154
01/15/2019,792,2.65446
01/15/2019,883,2.641298
01/15/2019,974,2.629654
01/15/2019,1065,2.620431
01/15/2019,1156,2.615435
01/15/2019,1247,2.611904
01/15/2019,1345,2.60969
01/15/2019,1436,2.609541
01/15/2019,1520,2.611405
01/15/2019,1618,2.614778
01/15/2019,1709,2.619208
01/15/2019,1800,2.624718
01/15/2019,1891,2.631637
01/15/2019,1982,2.639075
01/15/2019,2073,2.647186
01/15/2019,2164,2.655886
01/15/2019,2255,2.665508
01/15/2019,2346,2.675164
01/15/2019,2437,2.685415
01/15/2019,2528,2.696015
01/15/2019,2619,2.706927
01/15/2019,2710,2.717275
01/15/2019,2801,2.727441
01/15/2019,2892,2.737601
01/15/2019,2983,2.747754
01/15/2019,3074,2.757605
01/15/2019,3165,2.767178
01/15/2019,3256,2.776357
01/15/2019,3347,2.786267
01/15/2019,3445,2.796614
01/15/2019,3536,2.80612
01/15/2019,3627,2.815276
01/16/2019,7,2.439695
01/16/2019,31,2.545499
01/16/2019,35,2.563654
01/16/2019,63,2.641893
01/16/2019,91,2.665757
01/16/2019,119,2.678391
01/16/2019,154,2.68986
01/16/2019,182,2.698304
01/16/2019,245,2.705428
01/16/2019,336,2.711595
01/16/2019,427,2.716207
01/16/2019,518,2.705929
01/16/2019,609,2.692702
01/16/2019,700,2.678331
01/16/2019,791,2.668426
01/16/2019,882,2.656407
01/16/2019,973,2.645694
01/16/2019,1064,2.636813
01/16/2019,1155,2.63211
01/16/2019,1246,2.629198
01/16/2019,1344,2.627557
01/16/2019,1435,2.627552
01/16/2019,1519,2.629536
01/16/2019,1617,2.633337
01/16/2019,1708,2.638123
01/16/2019,1799,2.643953
01/16/2019,1890,2.651161
01/16/2019,1981,2.658862
01/16/2019,2072,2.667435
01/16/2019,2163,2.676769
01/16/2019,2254,2.686771
01/16/2019,2345,2.696778
01/16/2019,2436,2.707354
01/16/2019,2527,2.718255
01/16/2019,2618,2.729447
01/16/2019,2709,2.740057
01/16/2019,2800,2.750467
01/16/2019,2891,2.760856
01/16/2019,2982,2.771224
01/16/2019,3073,2.781277
01/16/2019,3164,2.79104
01/16/2019,3255,2.800398
01/16/2019,3346,2.810479
01/16/2019,3444,2.820997
01/16/2019,3535,2.830656
01/16/2019,3626,2.839956
01/17/2019,7,2.439073
01/17/2019,31,2.534949
01/17/2019,34,2.548846
01/17/2019,62,2.636174
01/17/2019,90,2.663658
01/17/2019,118,2.678098
01/17/2019,153,2.690866
01/17/2019,181,2.699983
01/17/2019,244,2.708004
01/17/2019,335,2.716226
01/17/2019,426,2.725238
01/17/2019,517,2.717782
